condition,count,ndcg@1_mean,ndcg@1_std,ndcg@1_missing,ndcg@10_mean,ndcg@10_std,ndcg@10_missing,recall@10_mean,recall@10_std,recall@10_missing,mrr@100_mean,mrr@100_std,mrr@100_missing,recall@100_mean,recall@100_std,recall@100_missing
bge_m3__keep,960,0.55625,0.4970848281547603,0,0.5602967325945534,0.3243136586410797,0,0.6377968385780886,0.3518987865221249,0,0.6725617734787974,0.3874412986935379,0,0.9040365739584489,0.21864565555872964,0
bge_m3__naive_strip,960,0.5572916666666666,0.49696572365017505,0,0.5591316015160473,0.3241265439749273,0,0.6346801057738558,0.35310252379737517,0,0.6732783856466256,0.38754160347227357,0,0.9037952094202094,0.22155395846828896,0
bge_m3__rule_resolved,960,0.55625,0.4970848281547603,0,0.5582519992518666,0.32342294210269984,0,0.6372429364616865,0.35295925304945425,0,0.6720026383067639,0.38773319900210546,0,0.902240939037814,0.22068290051838896,0
bge_m3__sastrawi_clitic,960,0.5541666666666667,0.4973163992603059,0,0.5600453187061257,0.32313719779758227,0,0.6387798081548082,0.35038307194803614,0,0.6711823860610011,0.3875206111149615,0,0.9042982307044807,0.21949886059721496,0
bge_m3__sentinel,960,0.5583333333333333,0.4968444043992338,0,0.5603249164753207,0.3241987653431541,0,0.6374483762765013,0.3514480916729817,0,0.6729811524548106,0.3883651453377605,0,0.9019383972508972,0.22308386054811472,0
