retriever_family,metric,conditions,paired_queries,friedman_statistic,friedman_p_value
bge_m3,ndcg@1,bge_m3__keep|bge_m3__naive_strip|bge_m3__rule_resolved|bge_m3__sastrawi_clitic|bge_m3__sentinel,960,0.6875000000582078,0.9528614326431599
bm25,ndcg@1,bm25__keep|bm25__naive_strip|bm25__rule_resolved|bm25__sastrawi_clitic|bm25__sentinel,960,1.5820895522874565,0.8120075403331006
