tertile,retriever_family,condition_a,condition_b,metric,alternative,paired_queries,mean_delta_b_minus_a,wilcoxon_statistic,wilcoxon_p_value,wilcoxon_bonferroni_p_value,bonferroni_family_size,cliffs_delta,bootstrap_ci_low,bootstrap_ci_high
low,bge_m3,bge_m3__keep,bge_m3__naive_strip,ndcg@1,less,331,0.0,5.0,0.5,1.0,10,0.0,-0.012084592145015106,0.012084592145015106
low,bge_m3,bge_m3__keep,bge_m3__rule_resolved,ndcg@1,two-sided,331,0.00906344410876133,3.0,0.17971249487899976,1.0,10,0.00906344410876133,-0.0030211480362537764,0.02416918429003021
low,bge_m3,bge_m3__keep,bge_m3__sastrawi_clitic,ndcg@1,two-sided,331,-0.006042296072507553,0.0,0.15729920705028502,1.0,10,-0.006042296072507553,-0.015105740181268883,0.0
low,bge_m3,bge_m3__keep,bge_m3__sentinel,ndcg@1,two-sided,331,0.012084592145015106,0.0,0.0455002638963584,0.45500263896358406,10,0.012084592145015106,0.0030211480362537764,0.02416918429003021
low,bge_m3,bge_m3__naive_strip,bge_m3__rule_resolved,ndcg@1,two-sided,331,0.00906344410876133,8.0,0.25683925795785656,1.0,10,0.00906344410876133,-0.006042296072507553,0.02416918429003021
low,bge_m3,bge_m3__naive_strip,bge_m3__sastrawi_clitic,ndcg@1,two-sided,331,-0.006042296072507553,2.5,0.31731050786291415,1.0,10,-0.006042296072507553,-0.01812688821752266,0.006042296072507553
low,bge_m3,bge_m3__naive_strip,bge_m3__sentinel,ndcg@1,two-sided,331,0.012084592145015106,0.0,0.0455002638963584,0.45500263896358406,10,0.012084592145015106,0.0030211480362537764,0.02416918429003021
low,bge_m3,bge_m3__rule_resolved,bge_m3__sastrawi_clitic,ndcg@1,two-sided,331,-0.015105740181268883,4.0,0.05878172135535886,0.5878172135535886,10,-0.015105740181268883,-0.03323262839879154,0.0
low,bge_m3,bge_m3__rule_resolved,bge_m3__sentinel,ndcg@1,greater,331,0.0030211480362537764,6.0,0.6726395769907115,1.0,10,0.0030211480362537764,-0.00906344410876133,0.015105740181268883
low,bge_m3,bge_m3__sastrawi_clitic,bge_m3__sentinel,ndcg@1,two-sided,331,0.01812688821752266,0.0,0.014305878435429648,0.14305878435429648,10,0.01812688821752266,0.006042296072507553,0.03323262839879154
low,bm25,bm25__keep,bm25__naive_strip,ndcg@1,less,331,0.0,0.0,1.0,1.0,10,0.0,0.0,0.0
low,bm25,bm25__keep,bm25__rule_resolved,ndcg@1,two-sided,331,-0.02416918429003021,34.0,0.0455002638963584,0.45500263896358406,10,-0.02416918429003021,-0.04833836858006042,-0.0030211480362537764
low,bm25,bm25__keep,bm25__sastrawi_clitic,ndcg@1,two-sided,331,0.0,0.0,1.0,1.0,10,0.0,0.0,0.0
low,bm25,bm25__keep,bm25__sentinel,ndcg@1,two-sided,331,0.00906344410876133,0.0,0.0832645166635504,0.832645166635504,10,0.00906344410876133,0.0,0.021148036253776436
low,bm25,bm25__naive_strip,bm25__rule_resolved,ndcg@1,two-sided,331,-0.02416918429003021,34.0,0.0455002638963584,0.45500263896358406,10,-0.02416918429003021,-0.04833836858006042,-0.0030211480362537764
low,bm25,bm25__naive_strip,bm25__sastrawi_clitic,ndcg@1,two-sided,331,0.0,0.0,1.0,1.0,10,0.0,0.0,0.0
low,bm25,bm25__naive_strip,bm25__sentinel,ndcg@1,two-sided,331,0.00906344410876133,0.0,0.0832645166635504,0.832645166635504,10,0.00906344410876133,0.0,0.021148036253776436
low,bm25,bm25__rule_resolved,bm25__sastrawi_clitic,ndcg@1,greater,331,0.02416918429003021,34.0,0.9772498680518208,1.0,10,0.02416918429003021,0.0030211480362537764,0.04833836858006042
low,bm25,bm25__rule_resolved,bm25__sentinel,ndcg@1,two-sided,331,0.03323262839879154,40.0,0.011616891434158364,0.11616891434158365,10,0.03323262839879154,0.00906344410876133,0.06042296072507553
