tertile,retriever_family,condition_a,condition_b,metric,alternative,paired_queries,mean_delta_b_minus_a,wilcoxon_statistic,wilcoxon_p_value,wilcoxon_bonferroni_p_value,bonferroni_family_size,cliffs_delta,bootstrap_ci_low,bootstrap_ci_high
mid,bge_m3,bge_m3__rule_resolved,bge_m3__sentinel,recall@100,greater,269,0.0012391573729863695,4.0,0.6436490716709108,1.0,10,0.006481391910006772,-0.004337050805452292,0.006195786864931847
mid,bge_m3,bge_m3__sastrawi_clitic,bge_m3__sentinel,recall@100,two-sided,269,-0.0011152416356877326,1.0,0.6547208460185769,1.0,10,-0.0007047995467171543,-0.0055762081784386614,0.0022304832713754643
mid,bm25,bm25__keep,bm25__naive_strip,recall@100,less,269,0.00046468401486988845,0.0,0.15865525393145707,1.0,10,0.00035930957283619627,0.0,0.0013940520446096654
mid,bm25,bm25__keep,bm25__rule_resolved,recall@100,two-sided,269,-0.003097893432465923,2.0,0.2692941367197367,1.0,10,-0.010074487638368735,-0.00929368029739777,0.0018587360594795538
mid,bm25,bm25__keep,bm25__sastrawi_clitic,recall@100,two-sided,269,0.00046468401486988845,0.0,0.31731050786291415,1.0,10,0.00035930957283619627,0.0,0.0013940520446096654
mid,bm25,bm25__keep,bm25__sentinel,recall@100,two-sided,269,0.0013940520446096654,3.5,0.5807121621890252,1.0,10,0.0036207349262724394,-0.004182156133828996,0.006970260223048327
mid,bm25,bm25__naive_strip,bm25__rule_resolved,recall@100,two-sided,269,-0.0035625774473358116,3.0,0.2228009911811345,1.0,10,-0.010461436409115408,-0.009913258983890954,0.0018587360594795536
mid,bm25,bm25__naive_strip,bm25__sastrawi_clitic,recall@100,two-sided,269,0.0,0.0,1.0,1.0,10,0.0,0.0,0.0
mid,bm25,bm25__naive_strip,bm25__sentinel,recall@100,two-sided,269,0.0009293680297397769,2.5,0.7854947471183542,1.0,10,0.0032752449523914817,-0.004646840148698885,0.006505576208178439
mid,bm25,bm25__rule_resolved,bm25__sastrawi_clitic,recall@100,greater,269,0.0035625774473358116,3.0,0.8885995044094328,1.0,10,0.010461436409115408,-0.0018587360594795536,0.009913258983890954
mid,bm25,bm25__rule_resolved,bm25__sentinel,recall@100,two-sided,269,0.004491945477075589,4.0,0.17177277759571152,1.0,10,0.013709042163596412,-0.001239157372986369,0.011152416356877323
mid,bm25,bm25__sastrawi_clitic,bm25__sentinel,recall@100,two-sided,269,0.0009293680297397769,2.5,0.7854947471183542,1.0,10,0.0032752449523914817,-0.004646840148698885,0.006505576208178439
high,bge_m3,bge_m3__keep,bge_m3__naive_strip,recall@100,less,360,0.0006063612313612317,33.0,0.19044719333120042,1.0,10,0.004313271604938272,-0.005964511183261182,0.005873399170274169
high,bge_m3,bge_m3__keep,bge_m3__rule_resolved,recall@100,two-sided,360,-0.002936507936507936,64.0,0.3482433889207618,1.0,10,-0.009398148148148149,-0.008035796957671959,0.0015575396825396823
high,bge_m3,bge_m3__keep,bge_m3__sastrawi_clitic,recall@100,two-sided,360,-0.0001355820105820101,12.5,0.4406478971233142,1.0,10,0.0010648148148148149,-0.006588376322751313,0.004675925925925925
high,bge_m3,bge_m3__keep,bge_m3__sentinel,recall@100,two-sided,360,0.0018122695206028534,78.5,0.5063484017235745,1.0,10,0.0027623456790123457,-0.002664143919352254,0.006587737493987492
high,bge_m3,bge_m3__naive_strip,bge_m3__rule_resolved,recall@100,two-sided,360,-0.0035428691678691684,116.0,0.2103552635998217,1.0,10,-0.01378858024691358,-0.010729046416546413,0.003980361652236652
high,bge_m3,bge_m3__naive_strip,bge_m3__sastrawi_clitic,recall@100,two-sided,360,-0.0007419432419432418,43.0,0.8607562233837368,1.0,10,-0.0032253086419753085,-0.004100559163059163,0.002638941498316498
high,bge_m3,bge_m3__naive_strip,bge_m3__sentinel,recall@100,two-sided,360,0.0012059082892416214,125.0,0.9611006544529589,1.0,10,-0.001736111111111111,-0.004810460758377426,0.00825416115520282
high,bge_m3,bge_m3__rule_resolved,bge_m3__sastrawi_clitic,recall@100,two-sided,360,0.002800925925925926,87.0,0.19914149787526458,1.0,10,0.010439814814814815,-0.004563574735449734,0.009814897486772486
high,bge_m3,bge_m3__rule_resolved,bge_m3__sentinel,recall@100,greater,360,0.004748777457110789,184.0,0.8954071267496915,1.0,10,0.01220679012345679,-0.0014483149951899964,0.01139713353775853
high,bge_m3,bge_m3__sastrawi_clitic,bge_m3__sentinel,recall@100,two-sided,360,0.0019478515311848635,115.0,0.986124970745955,1.0,10,0.001558641975308642,-0.0039054358064774743,0.0087959330407247
high,bm25,bm25__keep,bm25__naive_strip,recall@100,less,360,-0.0011574074074074071,32.5,0.6954329954740215,1.0,10,0.004035493827160494,-0.005208333333333333,0.002893518518518519
high,bm25,bm25__keep,bm25__rule_resolved,recall@100,two-sided,360,0.00032297178130511427,260.0,0.9403016425742806,1.0,10,-0.0002160493827160494,-0.006845293209876543,0.00764244378306878
high,bm25,bm25__keep,bm25__sastrawi_clitic,recall@100,two-sided,360,0.0010416666666666669,3.0,0.4652088184521418,1.0,10,0.003125,-0.0018518518518518517,0.004166666666666667
high,bm25,bm25__keep,bm25__sentinel,recall@100,two-sided,360,-0.0006205908289241627,69.0,0.722301642898255,1.0,10,-0.0022608024691358024,-0.005361552028218696,0.004004822530864195
high,bm25,bm25__naive_strip,bm25__rule_resolved,recall@100,two-sided,360,0.0014803791887125215,143.5,0.608620989575057,1.0,10,-0.004367283950617284,-0.004279128086419754,0.007244295634920633
high,bm25,bm25__naive_strip,bm25__sastrawi_clitic,recall@100,two-sided,360,0.002199074074074074,3.0,0.11484960926328613,1.0,10,-0.0009490740740740741,-0.0003009259259259256,0.005092592592592592
high,bm25,bm25__naive_strip,bm25__sentinel,recall@100,two-sided,360,0.0005368165784832445,59.0,0.954652724454631,1.0,10,-0.006296296296296296,-0.003594604276895944,0.004696070326278654
high,bm25,bm25__rule_resolved,bm25__sastrawi_clitic,recall@100,greater,360,0.0007186948853615526,205.0,0.6067141791483656,1.0,10,0.003387345679012346,-0.005532600308641972,0.007051421957671958
high,bm25,bm25__rule_resolved,bm25__sentinel,recall@100,two-sided,360,-0.0009435626102292769,210.5,0.6504746560115806,1.0,10,-0.002052469135802469,-0.0068077876984126975,0.005027557319223987
high,bm25,bm25__sastrawi_clitic,bm25__sentinel,recall@100,two-sided,360,-0.0016622574955908291,57.5,0.36815839116714144,1.0,10,-0.0053858024691358026,-0.006164021164021164,0.00275132275132275
