condition,mean,std,count,missing
bge_m3__sentinel,0.5583333333333333,0.49684440439923394,960,0
bge_m3__naive_strip,0.5572916666666666,0.4969657236501752,960,0
bge_m3__keep,0.55625,0.49708482815476024,960,0
bge_m3__rule_resolved,0.55625,0.4970848281547603,960,0
bge_m3__sastrawi_clitic,0.5541666666666667,0.49731639926030613,960,0
bm25__keep,0.4125,0.49254081520240545,960,0
bm25__naive_strip,0.4125,0.49254081520240545,960,0
bm25__sastrawi_clitic,0.4125,0.49254081520240545,960,0
bm25__rule_resolved,0.409375,0.49197483022675315,960,0
bm25__sentinel,0.40729166666666666,0.4915860970964628,960,0
