tertile,retriever_family,condition_a,condition_b,metric,alternative,paired_queries,mean_delta_b_minus_a,wilcoxon_statistic,wilcoxon_p_value,wilcoxon_bonferroni_p_value,bonferroni_family_size,cliffs_delta,bootstrap_ci_low,bootstrap_ci_high
low,bge_m3,bge_m3__keep,bge_m3__naive_strip,recall@10,less,331,-0.0015105740181268878,18.5,0.5280810563805266,1.0,10,3.6509341827840195e-05,-0.010825780463242698,0.006545820745216517
low,bge_m3,bge_m3__keep,bge_m3__rule_resolved,recall@10,two-sided,331,0.0005035246727089628,6.0,0.6830913983096087,1.0,10,0.0016976843949945693,-0.004279959718026183,0.006042296072507553
low,bge_m3,bge_m3__keep,bge_m3__sastrawi_clitic,recall@10,two-sided,331,0.0037764350453172208,1.0,0.13057001811573618,1.0,10,0.00549465594508995,-0.0007552870090634441,0.009818731117824773
low,bge_m3,bge_m3__keep,bge_m3__sentinel,recall@10,two-sided,331,0.0025176233635448137,16.5,0.46889018958080375,1.0,10,0.003176312739022097,-0.007301107754279959,0.011581067472306144
low,bge_m3,bge_m3__naive_strip,bge_m3__rule_resolved,recall@10,two-sided,331,0.0020140986908358497,18.5,0.6337943727463906,1.0,10,0.001652047717709769,-0.006042296072507553,0.011581067472306144
low,bge_m3,bge_m3__naive_strip,bge_m3__sastrawi_clitic,recall@10,two-sided,331,0.005287009063444109,4.0,0.17177277759571152,1.0,10,0.00543989193234819,-0.0015105740181268886,0.014098690835850955
low,bge_m3,bge_m3__naive_strip,bge_m3__sentinel,recall@10,two-sided,331,0.004028197381671702,1.5,0.10247043485974937,1.0,10,0.003130676061737297,-0.0005035246727089628,0.00956696878147029
low,bge_m3,bge_m3__rule_resolved,bge_m3__sastrawi_clitic,recall@10,two-sided,331,0.0032729103726082576,4.0,0.33628879040286896,1.0,10,0.003796971550095381,-0.0020140986908358514,0.00931520644511581
low,bge_m3,bge_m3__rule_resolved,bge_m3__sentinel,recall@10,greater,331,0.0020140986908358505,14.0,0.7134786253562369,1.0,10,0.001487755679484488,-0.007301107754279959,0.010070493454179255
low,bge_m3,bge_m3__sastrawi_clitic,bge_m3__sentinel,recall@10,two-sided,331,-0.0012588116817724066,21.0,0.8572090592054344,1.0,10,-0.0023274705415248127,-0.010574018126888218,0.007301107754279961
low,bm25,bm25__keep,bm25__naive_strip,recall@10,less,331,0.0,0.0,1.0,1.0,10,0.0,0.0,0.0
low,bm25,bm25__keep,bm25__rule_resolved,recall@10,two-sided,331,-0.009818731117824773,18.5,0.18721484244469,1.0,10,-0.012184992835041666,-0.02416918429003021,0.0037764350453172208
low,bm25,bm25__keep,bm25__sastrawi_clitic,recall@10,two-sided,331,0.0,0.0,1.0,1.0,10,0.0,0.0,0.0
low,bm25,bm25__keep,bm25__sentinel,recall@10,two-sided,331,-0.0022658610271903325,1.0,0.27630291733748347,1.0,10,-0.001962377123246411,-0.0075528700906344415,0.0015105740181268882
low,bm25,bm25__naive_strip,bm25__rule_resolved,recall@10,two-sided,331,-0.009818731117824773,18.5,0.18721484244469,1.0,10,-0.012184992835041666,-0.02416918429003021,0.0037764350453172208
low,bm25,bm25__naive_strip,bm25__sastrawi_clitic,recall@10,two-sided,331,0.0,0.0,1.0,1.0,10,0.0,0.0,0.0
low,bm25,bm25__naive_strip,bm25__sentinel,recall@10,two-sided,331,-0.0022658610271903325,1.0,0.27630291733748347,1.0,10,-0.001962377123246411,-0.0075528700906344415,0.0015105740181268882
low,bm25,bm25__rule_resolved,bm25__sastrawi_clitic,recall@10,greater,331,0.009818731117824773,18.5,0.906392578777655,1.0,10,0.012184992835041666,-0.0037764350453172208,0.02416918429003021
low,bm25,bm25__rule_resolved,bm25__sentinel,recall@10,two-sided,331,0.0075528700906344415,21.5,0.29026469528738685,1.0,10,0.010158724363596536,-0.006042296072507553,0.022658610271903322
low,bm25,bm25__sastrawi_clitic,bm25__sentinel,recall@10,two-sided,331,-0.0022658610271903325,1.0,0.27630291733748347,1.0,10,-0.001962377123246411,-0.0075528700906344415,0.0015105740181268882
mid,bge_m3,bge_m3__keep,bge_m3__naive_strip,recall@10,less,269,-0.0035006195786864936,27.5,0.7235401875144757,1.0,10,-0.005265267201945799,-0.013785625774473358,0.004956629491945477
mid,bge_m3,bge_m3__keep,bge_m3__rule_resolved,recall@10,two-sided,269,0.004399008674101611,49.5,0.3364103002864135,1.0,10,0.006301737123588673,-0.006133828996282527,0.01623451053283765
mid,bge_m3,bge_m3__keep,bge_m3__sastrawi_clitic,recall@10,two-sided,269,0.0029739776951672858,7.0,0.2333557002508232,1.0,10,0.0040491424938848275,-0.006815365551425032,0.01164807930607187
mid,bge_m3,bge_m3__keep,bge_m3__sentinel,recall@10,two-sided,269,-0.002912019826517969,16.0,0.4392541254123927,1.0,10,-0.006453752712096295,-0.013197026022304834,0.005266418835192068
mid,bge_m3,bge_m3__naive_strip,bge_m3__rule_resolved,recall@10,two-sided,269,0.007899628252788105,65.0,0.22596258651120416,1.0,10,0.01167756111717638,-0.0039033457249070627,0.02149938042131351
mid,bge_m3,bge_m3__naive_strip,bge_m3__sastrawi_clitic,recall@10,two-sided,269,0.006474597273853779,4.5,0.058088626398563256,0.5808862639856326,10,0.009217672503143958,0.00030978934324659227,0.01387933705080544
mid,bge_m3,bge_m3__naive_strip,bge_m3__sentinel,recall@10,two-sided,269,0.0005885997521685254,27.5,1.0,1.0,10,-0.001257583504926687,-0.011617100371747211,0.012454306071871115
mid,bge_m3,bge_m3__rule_resolved,bge_m3__sastrawi_clitic,recall@10,two-sided,269,-0.0014250309789343263,74.5,0.9243604729107632,1.0,10,-0.0024322494161219442,-0.015179677819083026,0.011028500619578687
mid,bge_m3,bge_m3__rule_resolved,bge_m3__sentinel,recall@10,greater,269,-0.00731102850061958,124.0,0.12102694223455168,1.0,10,-0.012990423017924019,-0.02137546468401487,0.005080545229244113
mid,bge_m3,bge_m3__sastrawi_clitic,bge_m3__sentinel,recall@10,two-sided,269,-0.0058859975216852545,8.5,0.18181616460470695,1.0,10,-0.010558173601802076,-0.018277571251548948,0.0058859975216852545
mid,bm25,bm25__keep,bm25__naive_strip,recall@10,less,269,0.0010532837670384136,4.0,0.35750032734404463,1.0,10,0.0015477950829866918,-0.004337050805452293,0.005885997521685254
mid,bm25,bm25__keep,bm25__rule_resolved,recall@10,two-sided,269,-0.01493184634448575,86.5,0.11441673830243246,1.0,10,-0.022180456323157502,-0.03482032218091698,0.0035935563816604705
