retriever_family,condition_a,condition_b,metric,alternative,paired_queries,mean_delta_b_minus_a,wilcoxon_statistic,wilcoxon_p_value,wilcoxon_bonferroni_p_value,bonferroni_family_size,cliffs_delta,bootstrap_ci_low,bootstrap_ci_high
bge_m3,bge_m3__keep,bge_m3__naive_strip,recall@100,less,960,-0.00024136453823953805,64.0,0.17369078944168165,1.0,10,0.0012272135416666666,-0.0037566851551226535,0.002598591946248194
bge_m3,bge_m3__keep,bge_m3__rule_resolved,recall@100,two-sided,960,-0.0017956349206349207,85.0,0.17730384247882935,1.0,10,-0.004780815972222222,-0.004370132688492062,0.0005977182539682536
bge_m3,bge_m3__keep,bge_m3__sastrawi_clitic,recall@100,two-sided,960,0.0002616567460317463,20.0,0.24587101486875496,1.0,10,0.001257595486111111,-0.0021863839285714264,0.002248263888888889
bge_m3,bge_m3__keep,bge_m3__sentinel,recall@100,two-sided,960,-0.002098176707551708,174.5,0.7273601246369861,1.0,10,-0.001828342013888889,-0.006385963428932176,0.001568525658369406
bge_m3,bge_m3__naive_strip,bge_m3__rule_resolved,recall@100,two-sided,960,-0.0015542703823953827,209.5,0.13205115829240335,1.0,10,-0.006022135416666667,-0.005324602047258297,0.0026343090503246746
bge_m3,bge_m3__naive_strip,bge_m3__sastrawi_clitic,recall@100,two-sided,960,0.0005030212842712843,58.5,0.931887401005316,1.0,10,3.255208333333333e-05,-0.0015984933035714283,0.0032895106195887443
bge_m3,bge_m3__naive_strip,bge_m3__sentinel,recall@100,two-sided,960,-0.0018568121693121698,178.5,0.39853370538385213,1.0,10,-0.0030729166666666665,-0.005714316716269842,0.0019565248842592577
bge_m3,bge_m3__rule_resolved,bge_m3__sastrawi_clitic,recall@100,two-sided,960,0.002057291666666667,138.0,0.0852312568663942,0.852312568663942,10,0.0060384114583333336,-0.0013530195932539668,0.005241846478174602
bge_m3,bge_m3__rule_resolved,bge_m3__sentinel,recall@100,greater,960,-0.0003025417869167872,370.5,0.7024477539177683,1.0,10,0.002939453125,-0.00502452256944444,0.004079521028739777
bge_m3,bge_m3__sastrawi_clitic,bge_m3__sentinel,recall@100,two-sided,960,-0.0023598334535834546,160.5,0.33288501200973264,1.0,10,-0.0030859375,-0.006864355045995671,0.0017994284361471848
bm25,bm25__keep,bm25__naive_strip,recall@100,less,960,-0.00030381944444444434,38.0,0.6723176097729298,1.0,10,0.0016764322916666666,-0.0018578559027777758,0.0012586805555555556
bm25,bm25__keep,bm25__rule_resolved,recall@100,two-sided,960,0.0013363921957671953,365.5,0.9421440639084702,1.0,10,-0.0009136284722222223,-0.0027724351025132273,0.005700644841269841
bm25,bm25__keep,bm25__sastrawi_clitic,recall@100,two-sided,960,0.0005208333333333333,4.0,0.34302782731118187,1.0,10,0.0011404079861111111,-0.0006510416666666664,0.001779513888888889
bm25,bm25__keep,bm25__sentinel,recall@100,two-sided,960,0.001720403439153439,114.5,0.47430235951788324,1.0,10,0.002406684027777778,-0.0013785548941798943,0.0052431072255291
bm25,bm25__naive_strip,bm25__rule_resolved,recall@100,two-sided,960,0.00164021164021164,239.5,0.6465320325685624,1.0,10,-0.0026215277777777777,-0.0020971085482804227,0.005670107886904761
bm25,bm25__naive_strip,bm25__sastrawi_clitic,recall@100,two-sided,960,0.0008246527777777778,3.0,0.11484960926328613,1.0,10,-0.0005414496527777777,-0.0001477864583333314,0.0019357638888888886
bm25,bm25__naive_strip,bm25__sentinel,recall@100,two-sided,960,0.0020242228835978832,78.0,0.3129144661840504,1.0,10,0.0007118055555555556,-0.0009458808697089942,0.005396598048941797
bm25,bm25__rule_resolved,bm25__sastrawi_clitic,recall@100,greater,960,-0.0008155588624338619,325.5,0.5469475940156302,1.0,10,0.0020746527777777777,-0.004938853753306878,0.0030601231812169304
bm25,bm25__rule_resolved,bm25__sentinel,recall@100,two-sided,960,0.00038401124338624385,388.5,0.7723780865324084,1.0,10,0.0033485243055555555,-0.004229145998677247,0.004965887483465606
bm25,bm25__sastrawi_clitic,bm25__sentinel,recall@100,two-sided,960,0.0011995701058201056,117.0,0.7575897479613709,1.0,10,0.0012565104166666666,-0.001825396825396825,0.004628503224206348
