condition,mean,std,count,missing
bge_m3__sastrawi_clitic,0.6387798081548082,0.3503830719480361,960,0
bge_m3__keep,0.6377968385780886,0.35189878652212475,960,0
bge_m3__sentinel,0.6374483762765012,0.35144809167298185,960,0
bge_m3__rule_resolved,0.6372429364616864,0.35295925304945425,960,0
bge_m3__naive_strip,0.6346801057738557,0.35310252379737506,960,0
bm25__naive_strip,0.5429692211723461,0.37804918362880197,960,0
bm25__sastrawi_clitic,0.5427236854580605,0.3782892196002004,960,0
bm25__keep,0.5420379215691715,0.3779516412792785,960,0
bm25__sentinel,0.5388174354580605,0.3786063217024524,960,0
bm25__rule_resolved,0.5371991318866319,0.373756489762317,960,0
