retriever_family,metric,conditions,paired_queries,friedman_statistic,friedman_p_value
bge_m3,mrr@100,bge_m3__keep|bge_m3__naive_strip|bge_m3__rule_resolved|bge_m3__sastrawi_clitic|bge_m3__sentinel,960,0.7916106480346807,0.9395692230474082
bm25,mrr@100,bm25__keep|bm25__naive_strip|bm25__rule_resolved|bm25__sastrawi_clitic|bm25__sentinel,960,75.02698316088608,1.9665749489633968e-15
