retriever_family,metric,conditions,paired_queries,friedman_statistic,friedman_p_value
bge_m3,ndcg@10,bge_m3__keep|bge_m3__naive_strip|bge_m3__rule_resolved|bge_m3__sastrawi_clitic|bge_m3__sentinel,960,2.6378613615237447,0.6201310112475954
bm25,ndcg@10,bm25__keep|bm25__naive_strip|bm25__rule_resolved|bm25__sastrawi_clitic|bm25__sentinel,960,40.12955752212916,4.069435839953022e-08
