retriever_family,metric,conditions,paired_queries,friedman_statistic,friedman_p_value
bge_m3,recall@100,bge_m3__keep|bge_m3__naive_strip|bge_m3__rule_resolved|bge_m3__sastrawi_clitic|bge_m3__sentinel,960,6.282091917611793,0.1790486798179539
bm25,recall@100,bm25__keep|bm25__naive_strip|bm25__rule_resolved|bm25__sastrawi_clitic|bm25__sentinel,960,1.0740103270608459,0.8983735299903789
